ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,61,18,186,99224,2,1.5,2,135,0,0,0,1,1
2,51,19,126,91332,1,6.65,2,33,0,0,0,1,1
3,37,35,37,96820,1,3.35,2,280,0,0,0,1,1
4,30,34,164,95891,3,4.46,1,112,0,0,0,1,1
5,43,31,186,94686,2,0.72,1,171,0,0,0,0,1
6,61,39,90,94091,3,0.94,3,42,0,0,0,1,1
7,41,23,125,90443,1,5.56,3,12,0,0,0,1,1
8,45,16,73,99690,1,6.25,2,173,0,0,0,1,0
9,33,6,113,90926,1,5.83,3,124,0,0,0,0,1
10,33,0,95,96246,1,6.03,3,206,0,0,0,1,0
11,46,34,54,90622,4,1.28,3,103,0,0,0,1,1
12,58,31,30,99671,1,5.7,2,129,0,0,0,0,1
13,62,35,80,93037,4,1.86,3,39,0,0,0,1,1
14,46,12,63,90233,4,1.24,1,22,0,0,0,1,0
15,25,5,140,99809,3,6.18,2,251,0,0,0,0,1
16,44,13,87,92691,4,7.17,1,289,0,0,0,1,1
17,24,36,44,97402,3,5.88,2,201,0,0,0,0,0
18,46,14,195,90386,4,6.54,1,154,1,0,0,1,1
19,52,3,179,91634,4,7.93,3,54,0,0,0,1,1
20,60,39,103,98110,1,1.51,2,105,0,0,0,1,0
21,24,15,133,94133,2,7.74,1,259,0,0,0,0,1
22,43,27,151,99376,4,5.01,2,199,0,0,0,1,1
23,55,15,185,95581,2,6.6,1,216,0,1,0,0,0
24,34,3,194,91967,2,5.38,3,46,0,0,0,1,1
25,44,25,20,95568,2,4.78,2,116,1,0,0,1,0
26,47,27,150,97284,4,5.78,2,211,0,1,0,0,1
27,49,31,105,98432,2,2.9,1,154,0,0,0,0,1
28,64,1,81,95145,4,7.43,1,262,0,0,0,1,1
29,50,30,83,95767,1,1.36,3,150,0,0,0,1,0
30,38,2,164,98753,4,2.89,1,211,0,0,0,0,1
31,37,7,145,91999,3,0.73,1,191,0,0,0,1,1
32,25,23,124,94901,1,2.53,1,242,1,0,0,1,0
33,59,14,81,92779,2,2.14,3,97,0,0,0,1,1
34,29,30,54,99867,2,0.87,3,28,0,0,0,0,1
35,43,8,32,96192,3,4.19,2,188,0,1,0,1,1
36,31,38,182,91677,1,4.01,3,171,1,0,0,1,0
37,61,1,62,99843,3,1.08,1,196,0,0,0,0,1
38,40,7,149,94177,2,2.46,2,154,0,0,0,1,1
39,26,6,130,97211,4,7.65,3,139,0,0,0,1,1
40,47,38,147,97873,2,1.33,3,292,0,1,0,1,0
41,36,15,70,93841,3,2.79,1,289,0,0,0,0,1
42,31,34,163,97098,4,0.77,1,255,0,0,0,1,1
43,48,29,165,96416,4,1.62,3,163,0,0,0,1,1
44,24,9,154,94885,2,5.75,2,133,0,0,0,1,1
45,42,37,64,90594,4,3.25,1,265,0,0,0,1,1
46,50,17,183,92612,1,3.89,3,28,0,0,0,1,1
47,29,4,188,96359,2,1.68,3,138,0,0,0,1,1
48,30,28,61,91496,2,5.62,1,84,0,0,0,1,1
49,57,38,154,93555,1,6.14,2,248,0,0,1,1,1
50,36,33,34,94861,2,1.86,2,232,0,0,0,1,0
51,39,22,79,94766,3,0.84,2,60,0,0,0,1,1
52,58,4,59,93358,3,1.11,1,272,0,0,0,1,0
53,62,29,184,99793,2,5.43,1,218,0,0,0,1,0
54,26,5,131,90914,1,1.52,1,285,1,0,0,1,1
55,24,3,96,91844,4,4.2,2,248,0,1,0,1,1
56,28,28,124,91995,1,1.64,2,71,0,1,0,1,0
57,64,22,126,97625,3,1.78,1,292,0,0,0,1,0
58,26,5,141,90094,2,0.53,1,197,0,0,0,1,0
59,51,31,99,98684,1,2.91,1,79,0,1,0,1,1
60,40,17,144,93069,4,1.17,2,136,1,0,0,1,0
61,48,14,191,90149,4,3.45,3,212,0,0,0,1,0
62,56,39,153,91046,4,4.98,3,106,0,0,0,1,0
63,32,31,51,92803,4,3.26,2,206,0,0,0,1,0
64,58,8,127,95334,1,5.79,1,151,0,0,0,0,1
65,36,36,133,98590,4,6.06,1,132,0,0,0,0,0
66,53,9,165,94476,3,5.72,1,165,0,0,0,1,1
67,37,19,87,97276,4,7.53,1,179,0,0,0,1,1
68,30,5,146,90551,3,2.28,2,120,0,0,0,1,0
69,36,2,154,98486,1,1.92,3,173,0,1,0,1,1
70,45,10,133,91143,3,5.07,3,67,0,0,0,1,1
71,62,16,27,90455,1,4.96,2,186,0,0,0,1,1
72,43,31,83,99745,4,4.33,1,137,0,0,0,1,1
73,38,3,154,98360,2,0.53,3,237,0,0,0,1,1
74,40,3,60,91946,3,4.66,2,17,0,0,0,1,1
75,46,16,59,96115,3,7.5,1,75,0,0,0,1,1
76,48,18,22,97310,2,3.01,3,150,0,1,0,1,1
77,47,4,164,96180,1,7.76,2,107,0,0,0,1,0
78,63,31,129,95817,1,3.18,3,152,0,0,1,1,1
79,51,21,133,95380,4,1.55,3,36,0,0,1,0,1
80,37,5,131,96374,3,3.49,2,145,1,0,0,0,0
81,23,34,199,98445,1,4.21,2,125,0,0,0,1,1
82,47,21,169,98070,4,5.22,3,284,0,0,0,0,1
83,29,0,23,91320,1,4.29,3,107,0,0,0,1,1
84,31,19,153,97123,2,4.53,2,285,0,0,0,0,1
85,46,21,185,96153,2,0.68,1,239,0,1,0,1,1
86,23,10,45,96589,2,2.4,1,101,0,0,0,1,0
87,30,12,158,93607,4,2.83,1,219,0,0,0,1,1
88,46,2,36,90400,3,7.9,1,6,0,0,1,0,1
89,33,8,111,96042,2,2.72,2,215,0,0,0,1,0
90,39,11,50,90362,2,7.22,1,168,0,0,0,1,1
91,30,22,182,93851,1,2.79,3,73,0,0,1,1,1
92,57,13,163,93412,2,1.22,1,292,1,0,0,0,1
93,57,32,126,90084,3,2.36,2,26,0,0,0,0,0
94,55,17,165,91824,4,2.55,1,276,0,0,0,1,1
95,27,8,130,98499,2,7.84,1,42,0,0,0,1,1
96,64,22,120,98822,4,5.56,2,92,0,0,0,1,1
97,61,9,131,94775,4,7.49,1,70,0,0,0,1,0
98,63,18,81,97868,3,6.76,2,268,0,0,0,1,1
99,50,4,131,97619,1,4.84,1,108,0,0,0,1,0
100,29,22,174,97418,1,5.57,2,180,0,0,0,1,1
101,31,29,182,92371,4,5.19,1,214,0,0,0,1,1
102,30,24,135,97068,2,5.5,3,113,0,0,0,1,1
103,34,27,192,93300,4,2.49,3,184,0,0,0,1,1
104,56,33,54,95821,1,3.56,2,124,0,0,0,0,1
105,55,24,47,97803,2,4.94,2,104,1,0,0,1,0
106,45,9,122,97464,1,0.77,2,236,0,0,0,1,1
107,46,13,144,90726,3,4.12,3,140,0,0,0,1,1
108,59,29,121,97121,1,6.95,2,292,0,0,0,0,0
109,57,24,156,99840,2,4.19,1,157,1,0,0,0,1
110,62,13,162,94312,2,4.64,2,273,0,0,0,0,1
111,44,34,40,98000,4,2.01,2,116,0,1,0,1,1
112,49,33,71,99461,2,6.46,1,61,0,1,0,1,1
113,57,9,182,94543,3,3.19,1,23,0,0,0,1,0
114,23,34,116,98014,1,7.67,3,59,1,0,0,1,1
115,57,10,70,90318,4,7.95,1,264,0,0,0,1,1
116,59,10,102,93475,4,7.37,1,179,0,0,1,0,0
117,36,20,74,95153,2,1.14,2,231,0,0,0,1,1
118,25,20,96,94134,3,3.0,3,142,1,1,0,1,1
119,23,21,146,91602,4,7.59,1,244,0,0,0,1,1
120,27,6,191,92256,3,6.53,3,80,0,0,0,1,1
121,48,16,112,99021,3,7.33,1,125,0,0,0,1,1
122,36,1,107,99047,1,4.79,3,136,0,0,0,1,0
